Count,Time,Tag ID,Distance,X,Y,Z,Pitch,Roll,Yaw
186,18.465,0,1.575,-0.120,-0.030,1.570,0.465,0.019,0.042,
187,18.556,0,1.576,-0.134,-0.027,1.570,0.463,0.021,0.043,
188,18.634,0,1.578,-0.150,-0.025,1.571,0.504,0.019,0.045,
189,18.710,0,1.577,-0.159,-0.025,1.569,0.490,0.026,0.041,
190,18.879,0,1.585,-0.206,-0.025,1.572,0.577,0.026,0.041,
191,18.979,0,1.587,-0.217,-0.025,1.572,0.560,0.020,0.045,
192,19.463,0,1.560,-0.038,-0.027,1.559,0.454,0.005,0.026,
193,19.562,0,1.555,-0.014,-0.029,1.554,0.426,0.008,0.023,
194,19.654,0,1.547,0.009,-0.031,1.547,0.416,0.008,0.019,
195,19.743,0,1.549,0.029,-0.031,1.548,0.383,-0.000,0.020,
196,19.827,0,1.547,0.049,-0.031,1.546,0.360,0.010,0.014,
197,19.907,0,1.547,0.065,-0.031,1.546,0.337,-0.002,0.016,
198,19.990,0,1.550,0.081,-0.032,1.547,0.333,-0.005,0.016,
199,20.071,0,1.552,0.090,-0.032,1.549,0.332,-0.001,0.016,
200,20.149,0,1.554,0.107,-0.033,1.550,0.297,-0.002,0.012,
201,20.226,0,1.556,0.125,-0.033,1.550,0.338,-0.012,0.010,
202,20.300,0,1.557,0.136,-0.033,1.551,0.314,-0.006,0.005,
203,20.372,0,1.562,0.156,-0.034,1.553,0.299,-0.023,0.006,
204,20.445,0,1.568,0.168,-0.037,1.559,0.311,-0.033,0.010,
205,20.607,0,1.560,0.189,-0.042,1.548,0.231,-0.011,0.013,
206,20.677,0,1.629,0.183,-0.061,1.617,0.098,0.018,0.014,
207,26.706,0,1.736,-0.105,-0.207,1.720,0.224,-0.039,-0.005,
208,26.791,0,1.667,-0.099,-0.188,1.654,0.370,-0.082,0.015,
209,26.896,0,1.664,-0.101,-0.190,1.650,0.385,-0.078,0.017,
210,26.994,0,1.664,-0.103,-0.191,1.650,0.384,-0.078,0.019,
211,27.101,0,1.669,-0.101,-0.197,1.654,0.376,-0.096,0.025,
212,27.194,0,1.671,-0.100,-0.201,1.656,0.373,-0.097,0.030,
213,27.267,0,1.669,-0.097,-0.203,1.654,0.374,-0.101,0.038,
214,27.367,0,1.667,-0.095,-0.202,1.651,0.376,-0.090,0.037,
215,27.476,0,1.668,-0.095,-0.200,1.653,0.373,-0.088,0.036,
216,27.566,0,1.662,-0.096,-0.198,1.647,0.375,-0.092,0.036,
217,27.659,0,1.661,-0.096,-0.197,1.646,0.376,-0.098,0.038,
218,27.750,0,1.662,-0.097,-0.198,1.648,0.375,-0.088,0.036,
219,27.835,0,1.695,-0.106,-0.214,1.679,0.352,-0.099,0.031,
220,27.913,0,1.675,-0.112,-0.202,1.659,0.402,-0.090,0.026,
221,27.989,0,1.673,-0.118,-0.200,1.657,0.389,-0.084,0.019,
222,28.065,0,1.666,-0.125,-0.193,1.650,0.425,-0.090,0.019,
223,28.137,0,1.667,-0.128,-0.192,1.651,0.400,-0.086,0.014,
224,28.207,0,1.666,-0.127,-0.193,1.650,0.393,-0.077,0.013,
225,28.270,0,1.666,-0.128,-0.194,1.650,0.398,-0.079,0.014,
226,28.337,0,1.676,-0.127,-0.196,1.659,0.383,-0.085,0.014,
227,28.405,0,1.682,-0.125,-0.189,1.666,0.344,-0.069,0.009,
228,28.475,0,1.658,-0.124,-0.186,1.643,0.396,-0.086,0.017,
229,28.548,0,1.655,-0.122,-0.188,1.640,0.398,-0.077,0.016,
230,28.625,0,1.655,-0.122,-0.188,1.640,0.399,-0.071,0.016,
231,28.712,0,1.656,-0.125,-0.188,1.640,0.412,-0.079,0.017,
232,28.797,0,1.654,-0.128,-0.186,1.639,0.404,-0.082,0.016,
233,28.871,0,1.656,-0.130,-0.184,1.641,0.396,-0.082,0.014,
234,28.941,0,1.652,-0.129,-0.182,1.637,0.407,-0.079,0.014,
235,29.011,0,1.650,-0.128,-0.181,1.636,0.406,-0.082,0.014,
236,29.078,0,1.650,-0.127,-0.181,1.635,0.401,-0.069,0.015,
237,29.152,0,1.651,-0.128,-0.181,1.636,0.404,-0.085,0.016,
238,29.225,0,1.649,-0.128,-0.180,1.634,0.404,-0.080,0.016,
239,29.293,0,1.651,-0.128,-0.181,1.636,0.401,-0.073,0.014,
240,29.368,0,1.650,-0.125,-0.182,1.635,0.399,-0.077,0.015,
241,29.440,0,1.650,-0.125,-0.182,1.635,0.398,-0.068,0.015,
242,29.518,0,1.648,-0.125,-0.181,1.633,0.405,-0.081,0.018,
