Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta
35.972,-0.381,0.189,14.192,-10.281,6.163,0.109,0.009,0.110,4.757,
36.037,-0.374,0.187,13.936,-9.979,6.241,0.105,-0.029,0.109,-15.581,
36.100,-0.372,0.186,14.127,-9.864,6.382,0.026,-0.009,0.027,-18.620,
36.166,-0.374,0.184,14.193,-10.271,6.627,-0.024,-0.027,0.036,48.746,
36.308,-0.324,0.153,16.251,-9.200,5.789,0.350,-0.221,0.415,-32.277,
36.372,-0.314,0.149,15.374,-9.038,5.727,0.166,-0.063,0.177,-20.795,
36.441,-0.293,0.143,16.652,-8.570,5.883,0.308,-0.079,0.318,-14.380,
36.516,-0.277,0.139,15.231,-8.438,5.304,0.205,-0.054,0.212,-14.877,
36.581,-0.267,0.137,16.521,-8.078,5.088,0.155,-0.042,0.161,-15.030,
36.657,-0.259,0.138,15.410,-8.332,4.769,0.101,0.020,0.103,11.077,
36.729,-0.252,0.138,14.472,-8.120,4.522,0.099,-0.008,0.099,-4.444,
36.800,-0.250,0.138,15.495,-7.961,4.576,0.035,0.006,0.036,9.205,
36.871,-0.241,0.140,15.836,-8.005,4.352,0.130,0.023,0.132,10.154,
36.936,-0.237,0.142,14.813,-8.327,4.106,0.059,0.043,0.073,35.869,
37.003,-0.237,0.143,14.694,-8.160,4.069,-0.006,0.010,0.011,-59.743,
37.075,-0.238,0.143,14.645,-8.398,4.136,-0.005,-0.006,0.008,52.574,
37.152,-0.236,0.142,14.964,-8.181,4.047,0.022,-0.012,0.026,-28.354,
37.223,-0.235,0.141,14.783,-8.226,3.946,0.019,-0.012,0.022,-32.636,
37.298,-0.236,0.141,15.254,-8.232,4.033,-0.023,0.003,0.023,-7.765,
37.366,-0.237,0.140,15.142,-8.180,4.073,-0.010,-0.009,0.013,43.721,
37.442,-0.238,0.140,13.838,-8.439,3.968,-0.018,-0.000,0.018,0.745,
37.527,-0.236,0.129,14.990,-8.034,3.999,0.027,-0.137,0.140,-78.858,
37.626,-0.240,0.127,15.004,-7.648,4.021,-0.039,-0.016,0.042,22.420,
37.729,-0.243,0.123,15.117,-7.474,4.068,-0.028,-0.042,0.050,56.486,
37.810,-0.247,0.124,14.825,-8.136,4.373,-0.050,0.010,0.051,-11.233,
37.900,-0.248,0.127,14.741,-8.007,4.411,-0.009,0.034,0.035,-75.319,
37.989,-0.246,0.132,16.613,-7.561,4.402,0.013,0.061,0.062,77.889,
38.081,-0.230,0.140,15.097,-8.481,3.823,0.180,0.086,0.200,25.495,
38.158,-0.228,0.135,14.971,-8.507,3.824,0.022,-0.066,0.069,-71.137,
38.233,-0.226,0.133,15.149,-8.054,3.661,0.025,-0.034,0.043,-53.587,
38.302,-0.225,0.132,15.412,-8.282,3.668,0.019,-0.014,0.023,-37.079,
38.380,-0.222,0.131,15.063,-8.005,3.517,0.031,-0.003,0.031,-6.428,
38.453,-0.221,0.130,15.304,-8.147,3.544,0.019,-0.021,0.028,-48.723,
38.522,-0.222,0.129,15.101,-8.550,3.625,-0.018,-0.004,0.018,12.311,
38.592,-0.223,0.130,15.125,-8.135,3.589,-0.014,0.014,0.020,-45.624,
38.662,-0.224,0.131,15.307,-8.433,3.669,-0.015,0.010,0.018,-34.245,
38.735,-0.224,0.132,15.348,-8.024,3.612,0.002,0.012,0.012,81.959,
38.808,-0.226,0.133,15.378,-8.130,3.657,-0.020,0.010,0.023,-26.334,
38.883,-0.229,0.134,15.113,-8.344,3.908,-0.044,0.013,0.046,-15.965,
38.968,-0.229,0.133,15.069,-8.318,3.860,-0.000,-0.010,0.010,89.597,
39.062,-0.230,0.133,15.419,-8.517,3.994,-0.015,-0.001,0.015,5.114,
39.132,-0.235,0.131,14.454,-8.040,4.009,-0.071,-0.033,0.078,24.888,
39.225,-0.230,0.133,15.282,-8.440,4.017,0.057,0.022,0.061,21.335,
39.311,-0.230,0.133,15.227,-8.261,4.020,-0.006,0.001,0.006,-12.288,
39.403,-0.231,0.134,15.211,-8.355,4.062,-0.002,0.011,0.011,-77.459,
39.475,-0.232,0.139,14.165,-8.490,4.084,-0.017,0.075,0.077,-77.030,
39.551,-0.231,0.140,15.433,-8.356,4.425,0.014,0.009,0.016,33.838,
39.626,-0.228,0.141,16.173,-8.134,4.448,0.043,0.017,0.047,21.534,
39.698,-0.222,0.151,16.395,-7.928,5.190,0.079,0.141,0.162,60.806,
39.765,-0.215,0.151,18.601,-7.912,5.362,0.110,-0.004,0.110,-1.915,
39.832,-0.205,0.151,17.730,-8.067,4.935,0.151,-0.003,0.151,-1.031,
39.904,-0.198,0.153,15.729,-8.056,4.566,0.090,0.029,0.094,17.667,
39.976,-0.195,0.156,15.225,-8.204,4.399,0.044,0.047,0.065,46.603,
40.048,-0.188,0.164,16.119,-8.152,4.517,0.092,0.110,0.143,50.309,
40.122,-0.183,0.167,16.209,-8.224,4.517,0.072,0.041,0.083,29.936,
40.189,-0.179,0.172,14.303,-8.969,4.264,0.060,0.075,0.096,51.151,
40.270,-0.181,0.179,13.239,-8.995,4.265,-0.023,0.082,0.085,-74.544,
40.343,-0.185,0.189,13.277,-8.754,4.624,-0.054,0.143,0.153,-69.389,
40.415,-0.182,0.190,16.419,-8.437,4.918,0.043,0.004,0.043,5.216,
40.488,-0.163,0.193,13.735,-7.449,3.762,0.259,0.047,0.264,10.351,
40.561,-0.159,0.190,13.312,-7.172,3.276,0.051,-0.038,0.064,-36.207,
40.635,-0.156,0.191,11.880,-7.485,2.676,0.036,0.012,0.038,18.109,
40.711,-0.147,0.184,16.210,-6.848,2.753,0.115,-0.100,0.153,-40.965,
40.788,-0.142,0.185,14.659,-6.598,2.657,0.076,0.015,0.078,10.927,
41.186,-0.113,-0.643,-4.751,42.574,4.975,0.073,-2.078,2.079,-87.995,
41.248,-0.112,-0.628,-4.439,45.334,4.581,0.015,0.244,0.244,86.471,
41.312,-0.115,-0.636,-4.773,43.678,4.899,-0.051,-0.119,0.129,66.868,
41.379,-0.108,-0.623,-5.595,45.623,5.898,0.102,0.182,0.209,60.859,
41.448,-0.113,-0.612,-5.208,45.840,5.528,-0.073,0.162,0.178,-65.915,
41.655,-0.123,-0.546,-5.063,38.537,4.428,-0.049,0.320,0.324,-81.355,
41.737,-0.122,-0.552,-4.943,37.985,4.505,0.014,-0.074,0.075,-79.271,
41.809,-0.122,-0.553,-4.797,37.325,4.402,0.003,-0.005,0.006,-56.944,
41.883,-0.122,-0.551,-4.856,37.403,4.362,0.001,0.019,0.019,85.903,
41.955,-0.121,-0.551,-4.755,37.246,4.332,0.004,0.005,0.006,55.622,
42.021,-0.119,-0.550,-4.733,36.982,4.288,0.029,0.020,0.035,34.866,
42.095,-0.118,-0.543,-4.607,37.646,4.087,0.018,0.082,0.084,77.904,
42.166,-0.118,-0.534,-4.383,37.537,3.835,0.005,0.129,0.130,87.667,
42.235,-0.117,-0.512,-4.422,36.561,3.433,0.010,0.316,0.316,88.181,
42.305,-0.116,-0.505,-4.713,34.842,3.516,0.016,0.112,0.113,81.948,
42.380,-0.117,-0.498,-4.551,34.998,3.454,-0.014,0.093,0.094,-81.364,
42.457,-0.120,-0.483,-4.188,34.361,3.216,-0.042,0.192,0.196,-77.733,
42.529,-0.121,-0.476,-4.187,34.297,3.150,-0.005,0.101,0.101,-87.156,
42.598,-0.121,-0.468,-4.146,33.650,3.078,-0.010,0.113,0.114,-85.041,
42.678,-0.123,-0.448,-4.041,34.223,2.871,-0.018,0.254,0.254,-85.955,
42.749,-0.125,-0.431,-3.629,29.897,2.742,-0.028,0.235,0.237,-83.193,
42.821,-0.127,-0.424,-3.565,29.535,2.816,-0.029,0.100,0.104,-73.820,
42.888,-0.129,-0.413,-3.746,28.509,2.868,-0.028,0.153,0.156,-79.461,
42.965,-0.133,-0.396,-4.078,28.176,3.082,-0.051,0.221,0.227,-77.044,
43.037,-0.135,-0.379,-2.966,25.742,2.573,-0.033,0.246,0.248,-82.382,
43.106,-0.134,-0.371,-2.707,25.488,2.397,0.010,0.104,0.105,84.588,
43.174,-0.134,-0.359,-2.334,23.947,2.185,0.002,0.180,0.180,89.305,
43.246,-0.138,-0.355,-1.850,21.687,2.065,-0.047,0.055,0.072,-49.519,
43.314,-0.139,-0.349,-2.533,22.734,2.253,-0.018,0.093,0.094,-79.282,
43.387,-0.141,-0.333,-2.823,22.476,2.200,-0.036,0.212,0.215,-80.271,
43.455,-0.142,-0.326,-2.998,22.833,2.199,-0.012,0.104,0.105,-83.250,
43.527,-0.143,-0.318,-3.298,23.274,2.197,-0.009,0.120,0.121,-85.834,
43.607,-0.145,-0.308,-2.814,21.899,1.945,-0.026,0.120,0.122,-77.919,
43.683,-0.147,-0.294,-1.929,18.144,1.808,-0.031,0.185,0.188,-80.459,
43.759,-0.152,-0.284,0.540,14.945,1.343,-0.056,0.137,0.149,-67.666,
43.835,-0.150,-0.280,-2.743,18.615,1.919,0.027,0.052,0.059,62.901,
43.909,-0.150,-0.269,-2.025,17.963,1.670,-0.008,0.135,0.136,-86.461,
43.983,-0.155,-0.254,1.115,12.450,1.175,-0.061,0.204,0.213,-73.317,
44.056,-0.155,-0.249,0.301,13.709,1.293,-0.007,0.081,0.081,-85.034,
44.134,-0.155,-0.236,3.203,11.641,0.870,-0.001,0.156,0.156,-89.640,
44.213,-0.155,-0.233,2.355,11.985,1.029,0.000,0.045,0.045,89.692,
44.295,-0.157,-0.222,3.718,10.836,0.959,-0.017,0.135,0.136,-82.729,
44.368,-0.157,-0.217,2.850,11.124,1.108,-0.007,0.061,0.062,-83.317,
44.435,-0.156,-0.202,0.856,12.012,1.262,0.022,0.232,0.233,84.551,
44.500,-0.155,-0.193,1.760,11.228,1.107,0.011,0.139,0.139,85.476,
44.572,-0.154,-0.184,1.551,11.004,1.057,0.018,0.117,0.118,81.204,
44.641,-0.152,-0.175,3.380,9.825,0.815,0.020,0.139,0.141,81.669,
44.707,-0.152,-0.159,6.639,8.723,0.482,0.003,0.243,0.243,89.405,
44.776,-0.153,-0.151,6.621,8.321,0.517,-0.009,0.112,0.112,-85.527,
44.845,-0.153,-0.143,7.993,7.638,0.496,0.001,0.114,0.114,89.611,
44.916,-0.153,-0.137,8.427,7.044,0.502,-0.005,0.089,0.090,-86.840,
44.985,-0.156,-0.129,8.833,6.602,0.646,-0.039,0.107,0.114,-70.206,
45.053,-0.157,-0.125,8.879,6.275,0.669,-0.022,0.057,0.061,-68.841,
45.124,-0.159,-0.121,8.851,6.186,0.707,-0.020,0.068,0.071,-73.179,
45.197,-0.160,-0.114,8.609,5.865,0.714,-0.018,0.093,0.095,-79.257,
45.270,-0.160,-0.107,9.359,5.540,0.682,-0.008,0.101,0.102,-85.704,
45.345,-0.162,-0.103,9.815,5.190,0.804,-0.019,0.051,0.054,-69.341,
45.420,-0.164,-0.099,9.639,4.783,0.905,-0.024,0.054,0.059,-65.768,
45.500,-0.166,-0.095,9.619,4.917,0.972,-0.025,0.049,0.055,-63.112,
45.576,-0.169,-0.087,9.706,4.352,1.113,-0.037,0.105,0.111,-70.400,
45.660,-0.170,-0.083,9.612,4.245,1.230,-0.013,0.048,0.050,-74.543,
45.732,-0.170,-0.072,10.110,4.023,1.211,-0.007,0.152,0.152,-87.400,
45.802,-0.171,-0.068,9.939,3.803,1.300,-0.016,0.052,0.054,-72.498,
45.872,-0.172,-0.059,9.958,3.497,1.483,-0.006,0.124,0.124,-87.458,
45.943,-0.169,-0.054,9.965,3.546,1.463,0.031,0.083,0.088,69.549,
46.016,-0.167,-0.048,9.837,3.809,1.398,0.030,0.080,0.085,69.266,
46.099,-0.165,-0.041,9.869,3.652,1.425,0.033,0.085,0.091,69.135,
46.188,-0.164,-0.030,10.143,2.963,1.634,0.008,0.123,0.123,86.279,
46.293,-0.161,-0.020,10.969,2.659,1.662,0.031,0.090,0.096,71.295,
46.375,-0.159,-0.012,11.227,2.542,1.788,0.023,0.097,0.100,76.761,
46.453,-0.158,-0.004,11.655,1.942,2.007,0.016,0.106,0.108,81.262,
46.527,-0.158,-0.001,11.602,1.977,2.114,-0.005,0.039,0.039,-82.743,
46.607,-0.158,0.003,11.412,1.721,2.180,0.001,0.054,0.054,89.126,
46.686,-0.157,0.009,11.895,1.433,2.273,0.008,0.076,0.077,84.250,
46.769,-0.157,0.016,11.957,1.284,2.310,0.006,0.081,0.082,85.518,
46.858,-0.157,0.020,12.021,1.127,2.369,-0.002,0.049,0.049,-87.511,
46.945,-0.156,0.026,12.029,0.842,2.378,0.007,0.060,0.060,83.484,
47.043,-0.157,0.030,11.778,0.780,2.376,-0.008,0.040,0.041,-79.221,
47.132,-0.159,0.036,11.954,0.344,2.407,-0.019,0.076,0.078,-75.807,
47.211,-0.161,0.045,11.446,0.232,2.421,-0.023,0.104,0.106,-77.408,
47.291,-0.162,0.054,11.675,-0.330,2.461,-0.014,0.120,0.121,-83.234,
47.370,-0.162,0.059,11.570,-0.339,2.507,-0.010,0.062,0.063,-80.918,
47.457,-0.163,0.070,11.652,-0.981,2.600,-0.002,0.122,0.122,-88.928,
47.532,-0.165,0.084,11.061,-1.612,2.643,-0.035,0.185,0.188,-79.418,
47.618,-0.167,0.089,11.810,-1.728,2.764,-0.016,0.065,0.067,-76.012,
47.708,-0.168,0.105,10.521,-2.060,2.776,-0.019,0.176,0.178,-83.780,
47.791,-0.162,0.116,10.323,-2.693,2.579,0.079,0.128,0.150,58.333,
47.872,-0.167,0.093,7.784,-0.942,2.500,-0.065,-0.287,0.294,77.270,
47.947,-0.169,0.070,10.242,-0.673,2.899,-0.023,-0.307,0.308,85.745,
48.046,-0.167,0.063,11.140,-0.827,2.995,0.019,-0.069,0.071,-74.308,
48.124,-0.164,0.046,8.393,0.515,2.660,0.036,-0.215,0.218,-80.455,
48.220,-0.165,0.036,10.178,0.664,2.869,-0.008,-0.107,0.107,85.540,
48.310,-0.165,0.024,10.354,0.730,2.773,0.002,-0.132,0.132,-89.152,
48.389,-0.163,0.013,10.277,1.650,2.557,0.025,-0.141,0.144,-80.012,
48.461,-0.164,0.001,9.537,1.986,2.398,-0.012,-0.160,0.160,85.752,
48.545,-0.163,-0.003,10.498,2.039,2.374,0.008,-0.051,0.052,-80.760,
48.626,-0.162,-0.011,9.976,2.259,2.304,0.008,-0.094,0.094,-85.324,
48.711,-0.163,-0.019,9.821,2.638,2.219,-0.009,-0.102,0.102,84.790,
48.793,-0.164,-0.026,10.021,3.145,2.102,-0.008,-0.087,0.088,84.790,
48.871,-0.163,-0.029,9.645,3.091,2.078,0.009,-0.039,0.040,-76.596,
48.950,-0.163,-0.035,8.707,3.091,2.114,-0.002,-0.068,0.068,88.513,
49.025,-0.163,-0.041,8.781,3.422,2.099,-0.004,-0.079,0.079,86.975,
49.092,-0.164,-0.047,8.590,3.658,2.078,-0.004,-0.096,0.096,87.633,
49.168,-0.164,-0.053,8.332,3.852,2.112,-0.007,-0.070,0.071,84.571,
49.237,-0.163,-0.056,8.897,4.493,1.961,0.010,-0.048,0.049,-77.719,
49.316,-0.162,-0.061,8.356,4.557,1.907,0.014,-0.062,0.063,-77.171,
49.390,-0.162,-0.072,7.347,5.332,1.786,0.009,-0.148,0.148,-86.396,
49.460,-0.160,-0.077,7.862,5.370,1.702,0.024,-0.081,0.085,-73.595,
49.536,-0.158,-0.083,7.107,5.492,1.636,0.028,-0.080,0.084,-70.798,
49.606,-0.156,-0.095,6.995,6.689,1.542,0.027,-0.161,0.163,-80.624,
49.677,-0.156,-0.102,5.703,6.992,1.638,-0.003,-0.100,0.100,88.525,
49.750,-0.156,-0.109,5.329,7.154,1.664,-0.000,-0.104,0.104,89.921,
49.825,-0.156,-0.117,5.242,7.649,1.697,0.005,-0.105,0.105,-87.444,
49.906,-0.154,-0.123,6.035,7.537,1.601,0.019,-0.072,0.075,-75.095,
49.978,-0.152,-0.133,5.588,8.106,1.561,0.029,-0.131,0.135,-77.494,
50.055,-0.152,-0.140,4.250,8.688,1.628,0.005,-0.102,0.102,-87.211,
50.125,-0.152,-0.158,3.419,10.054,1.688,0.004,-0.256,0.256,-89.080,
50.197,-0.150,-0.165,3.579,10.156,1.581,0.014,-0.095,0.096,-81.584,
50.274,-0.149,-0.175,1.081,11.439,1.889,0.016,-0.136,0.136,-83.331,
50.345,-0.151,-0.192,3.108,11.052,1.853,-0.025,-0.228,0.229,83.761,
50.415,-0.151,-0.197,2.897,11.656,1.844,-0.002,-0.073,0.073,88.297,
50.484,-0.147,-0.212,1.555,12.862,2.009,0.060,-0.214,0.222,-74.338,
50.552,-0.144,-0.221,0.235,14.259,2.131,0.040,-0.132,0.138,-73.296,
50.619,-0.142,-0.241,-0.908,16.012,2.216,0.038,-0.302,0.304,-82.821,
50.687,-0.141,-0.249,-0.520,16.910,2.076,0.012,-0.121,0.122,-84.407,
50.759,-0.139,-0.258,-0.554,17.443,2.100,0.028,-0.117,0.120,-76.709,
50.839,-0.138,-0.262,0.633,17.039,1.786,0.018,-0.061,0.063,-73.886,
50.909,-0.132,-0.272,-0.052,18.724,1.919,0.075,-0.139,0.157,-61.666,
50.985,-0.133,-0.279,-0.395,19.386,2.027,-0.002,-0.088,0.088,88.779,
51.063,-0.132,-0.294,-1.676,22.330,2.437,0.012,-0.191,0.191,-86.477,
51.134,-0.131,-0.308,-1.458,21.497,2.456,0.006,-0.207,0.207,-88.452,
51.205,-0.131,-0.313,-1.077,21.574,2.343,0.001,-0.067,0.067,-89.350,
51.282,-0.127,-0.322,-1.204,22.135,2.384,0.049,-0.116,0.126,-66.869,
51.349,-0.126,-0.320,-0.578,22.747,1.973,0.012,0.023,0.026,61.523,
51.417,-0.128,-0.319,-0.920,21.344,2.146,-0.016,0.026,0.030,-58.667,
51.486,-0.136,-0.317,-0.693,19.188,2.135,-0.124,0.022,0.126,-10.166,
51.558,-0.143,-0.313,-1.686,19.351,2.464,-0.092,0.060,0.110,-32.979,
51.628,-0.149,-0.310,-2.754,18.487,2.698,-0.092,0.035,0.098,-20.839,
51.701,-0.160,-0.310,-2.172,16.899,2.561,-0.143,0.000,0.143,-0.084,
51.777,-0.184,-0.311,-2.795,14.962,2.749,-0.318,-0.009,0.318,1.586,
51.861,-0.189,-0.317,-5.851,18.141,3.608,-0.068,-0.065,0.094,43.605,
51.948,-0.193,-0.319,-7.365,20.027,4.062,-0.048,-0.026,0.055,28.483,
52.031,-0.203,-0.320,-8.273,19.244,4.200,-0.118,-0.014,0.119,6.631,
52.107,-0.220,-0.317,-0.688,6.108,2.944,-0.221,0.042,0.225,-10.835,
52.187,-0.232,-0.320,-1.152,4.135,3.496,-0.154,-0.040,0.159,14.748,
52.260,-0.226,-0.327,-11.443,20.899,5.498,0.086,-0.098,0.130,-48.736,
52.327,-0.241,-0.318,-0.798,3.409,3.649,-0.226,0.134,0.262,-30.634,
52.407,-0.249,-0.318,-0.321,3.993,3.531,-0.094,0.007,0.094,-4.441,
52.482,-0.255,-0.319,0.647,3.045,3.605,-0.089,-0.016,0.091,9.873,
52.552,-0.269,-0.321,0.676,3.062,3.783,-0.195,-0.037,0.199,10.641,
52.644,-0.275,-0.321,0.891,1.870,3.907,-0.060,0.002,0.060,-2.374,
52.736,-0.288,-0.320,1.006,1.419,4.083,-0.144,0.008,0.145,-3.095,
52.812,-0.303,-0.328,1.422,0.715,4.540,-0.193,-0.093,0.214,25.779,
52.886,-0.310,-0.329,1.478,0.722,4.686,-0.102,-0.019,0.104,10.628,
52.960,-0.327,-0.330,2.279,0.401,4.790,-0.229,-0.013,0.230,3.141,
53.038,-0.335,-0.329,2.504,-0.325,4.934,-0.105,0.008,0.106,-4.565,
53.110,-0.356,-0.326,3.512,-1.107,4.870,-0.281,0.045,0.284,-9.033,
53.180,-0.366,-0.327,3.392,-1.444,5.058,-0.144,-0.011,0.144,4.188,
53.253,-0.380,-0.330,2.605,-1.282,5.817,-0.190,-0.041,0.195,12.220,
53.767,0.016,-0.003,20.146,4.928,1.223,0.769,0.637,0.998,39.624,
53.839,0.014,-0.002,20.088,4.764,1.180,-0.018,0.012,0.021,-33.758,
53.915,0.004,-0.008,19.642,4.897,1.243,-0.134,-0.083,0.157,31.670,
53.991,0.002,-0.009,19.099,4.747,1.384,-0.027,-0.009,0.029,18.111,
54.064,0.003,-0.008,19.001,5.038,1.253,0.006,0.008,0.010,54.500,
54.136,-0.000,-0.011,19.307,4.794,1.344,-0.039,-0.035,0.052,41.287,
54.211,-0.020,-0.027,17.595,5.621,1.308,-0.262,-0.222,0.343,40.292,
54.281,-0.031,-0.038,16.182,6.295,1.520,-0.164,-0.162,0.230,44.783,
54.357,-0.039,-0.049,15.231,6.581,1.718,-0.101,-0.134,0.167,53.058,
54.438,-0.045,-0.058,14.758,7.363,1.639,-0.082,-0.112,0.139,53.649,
54.513,-0.062,-0.080,13.239,8.565,1.596,-0.221,-0.293,0.368,52.965,
54.585,-0.072,-0.090,13.704,8.639,1.748,-0.132,-0.145,0.196,47.696,
54.665,-0.081,-0.099,12.687,8.909,1.810,-0.112,-0.105,0.154,43.154,
54.731,-0.096,-0.114,11.953,8.895,2.160,-0.227,-0.228,0.322,45.139,
54.806,-0.104,-0.121,11.651,9.046,2.225,-0.112,-0.095,0.147,40.441,
54.881,-0.120,-0.137,9.528,10.267,2.518,-0.211,-0.209,0.297,44.782,
54.963,-0.126,-0.147,8.043,9.879,2.808,-0.079,-0.121,0.145,56.811,
55.045,-0.140,-0.165,7.542,10.230,2.906,-0.160,-0.221,0.273,54.110,
55.124,-0.153,-0.181,6.091,10.837,3.234,-0.165,-0.205,0.263,51.098,
55.203,-0.159,-0.189,5.692,10.937,3.393,-0.085,-0.099,0.131,49.135,
55.277,-0.170,-0.205,4.163,11.153,3.826,-0.148,-0.212,0.259,55.119,
55.349,-0.174,-0.208,4.797,10.710,3.874,-0.048,-0.055,0.073,49.081,
55.424,-0.175,-0.209,4.413,10.985,4.006,-0.013,-0.006,0.014,24.713,
55.499,-0.172,-0.200,4.593,12.454,3.760,0.031,0.113,0.117,74.855,
55.582,-0.164,-0.184,7.139,12.403,2.925,0.104,0.197,0.222,62.118,
55.655,-0.146,-0.163,7.112,12.022,2.989,0.250,0.290,0.383,49.190,
55.732,-0.135,-0.145,9.374,13.470,2.427,0.140,0.233,0.272,59.044,
55.884,-0.066,-0.069,12.341,10.662,1.351,0.451,0.501,0.674,48.049,
55.964,-0.041,-0.034,19.294,6.559,1.186,0.313,0.429,0.530,53.897,
56.044,-0.027,-0.028,22.017,6.012,0.965,0.183,0.087,0.203,25.513,
56.117,-0.007,-0.023,18.794,5.646,0.920,0.263,0.057,0.269,12.211,
56.194,-0.012,-0.027,19.525,5.487,1.005,-0.062,-0.051,0.080,39.207,
56.267,-0.017,-0.031,18.908,5.841,1.172,-0.068,-0.052,0.085,37.765,
56.345,-0.013,-0.029,19.321,5.982,0.971,0.049,0.031,0.058,32.101,
56.418,-0.009,-0.027,18.985,5.504,0.966,0.062,0.022,0.066,19.236,
56.484,-0.008,-0.030,18.709,5.786,0.987,0.007,-0.041,0.041,-80.438,
56.557,-0.005,-0.033,20.178,5.985,0.814,0.052,-0.046,0.070,-41.513,
56.630,0.004,-0.039,20.455,6.260,0.477,0.117,-0.082,0.143,-34.789,
56.697,0.013,-0.049,19.330,7.088,0.172,0.140,-0.156,0.209,-48.091,
56.768,0.022,-0.059,20.607,7.742,-0.306,0.116,-0.141,0.183,-50.613,
56.848,0.031,-0.065,23.426,8.031,-0.846,0.116,-0.068,0.135,-30.500,
56.928,0.055,-0.077,24.346,9.419,-1.683,0.300,-0.147,0.334,-26.138,
57.004,0.067,-0.084,24.762,9.274,-1.981,0.162,-0.096,0.188,-30.509,
57.077,0.077,-0.091,24.892,10.347,-2.588,0.140,-0.100,0.172,-35.638,
57.154,0.096,-0.108,25.646,12.027,-3.329,0.240,-0.221,0.326,-42.666,
57.224,0.107,-0.116,27.417,12.435,-3.862,0.154,-0.104,0.186,-33.926,
57.299,0.119,-0.124,26.810,13.045,-4.325,0.163,-0.107,0.195,-33.320,
57.376,0.128,-0.133,26.680,14.796,-4.657,0.117,-0.119,0.167,-45.611,
57.454,0.134,-0.141,27.053,15.333,-4.972,0.080,-0.110,0.136,-53.982,
63.806,0.064,0.117,-20.923,-7.706,-90.586,-0.011,0.041,0.042,-74.899,
63.938,-0.156,0.054,-23.632,-3.224,-3.782,-1.677,-0.481,1.745,16.003,
64.004,-0.180,0.018,11.141,0.500,1.174,-0.365,-0.540,0.652,55.944,
64.070,-0.196,0.005,10.555,0.789,0.959,-0.230,-0.190,0.298,39.517,
64.135,-0.202,-0.003,8.310,1.737,0.411,-0.098,-0.133,0.165,53.550,
64.205,-0.201,-0.009,9.627,1.569,0.295,0.009,-0.080,0.080,-83.626,
64.274,-0.220,-0.014,15.977,-0.144,0.088,-0.272,-0.079,0.284,16.101,
64.346,-0.251,-0.014,16.183,-0.544,0.409,-0.432,0.002,0.432,-0.327,
64.411,-0.280,-0.013,13.273,-0.233,0.733,-0.443,0.016,0.444,-2.077,
64.474,-0.300,-0.010,9.819,-0.397,1.024,-0.315,0.047,0.318,-8.485,
64.540,-0.308,-0.007,7.184,-0.055,1.164,-0.124,0.046,0.132,-20.371,
64.873,-0.028,0.006,22.830,2.431,0.508,0.844,0.041,0.845,2.768,
64.942,-0.011,0.004,17.534,3.149,0.168,0.244,-0.031,0.246,-7.265,
65.012,-0.011,0.005,17.444,2.537,0.340,-0.008,0.017,0.019,-64.565,
65.085,-0.015,0.007,16.696,2.805,0.404,-0.053,0.024,0.058,-24.038,
65.149,-0.015,0.008,16.759,2.985,0.411,-0.005,0.006,0.008,-53.549,
65.216,-0.016,0.006,16.882,2.646,0.418,-0.012,-0.019,0.022,58.579,
65.283,-0.016,0.006,16.819,2.619,0.432,-0.001,-0.003,0.003,62.298,
65.352,-0.015,0.006,17.337,2.634,0.481,0.020,0.001,0.020,2.879,
65.425,-0.008,0.008,19.120,2.748,0.477,0.094,0.027,0.098,16.309,
65.493,-0.000,0.012,18.635,2.858,0.472,0.110,0.057,0.124,27.231,
65.560,0.008,0.019,18.992,2.352,0.690,0.134,0.111,0.174,39.635,
65.628,0.019,0.028,20.668,1.795,0.836,0.150,0.126,0.196,39.898,
65.697,0.029,0.032,21.134,1.692,1.026,0.151,0.060,0.163,21.714,
65.764,0.037,0.035,21.038,1.539,1.084,0.122,0.048,0.131,21.426,
65.830,0.048,0.036,23.159,1.531,1.110,0.164,0.013,0.164,4.371,
65.894,0.062,0.039,23.388,1.266,1.233,0.214,0.046,0.219,12.035,
65.968,0.068,0.041,23.322,1.230,1.341,0.083,0.029,0.087,19.226,
66.037,0.079,0.047,23.271,1.175,1.346,0.161,0.088,0.183,28.604,
66.108,0.089,0.054,24.098,1.070,1.430,0.137,0.097,0.168,35.406,
66.177,0.099,0.060,24.264,0.613,1.666,0.142,0.089,0.168,32.174,
66.245,0.107,0.067,25.117,0.421,1.712,0.121,0.091,0.152,37.031,
66.310,0.116,0.072,26.126,-0.008,1.976,0.143,0.090,0.170,32.235,
66.377,0.129,0.080,27.737,-0.654,2.248,0.195,0.106,0.222,28.511,
66.441,0.144,0.085,28.607,-0.940,2.304,0.227,0.086,0.243,20.708,
66.505,0.156,0.088,28.659,-1.103,2.406,0.195,0.054,0.203,15.319,
66.572,0.168,0.093,29.466,-1.381,2.546,0.168,0.070,0.182,22.590,
66.642,0.185,0.086,-16.131,-4.625,-0.079,0.252,-0.096,0.270,-20.934,
66.710,0.188,0.097,31.139,-1.550,2.678,0.047,0.151,0.159,72.624,
66.776,0.209,0.089,-16.036,-5.094,-0.287,0.309,-0.121,0.332,-21.377,
66.841,0.220,0.092,-15.899,-5.174,-0.246,0.180,0.049,0.187,15.285,
